Year;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Annual
1937;-3.2;10.3;28.2;43.3;61.4;67.1;76.7;78.2;62.8;47.3;28.5;15.3;43
1938;9.5;11.9;36.8;46.9;55.1;66.9;73.4;76;63;54.4;27;20.8;45.1
1939;16.2;3.2;30.1;43.8;63.7;66.2;74.4;M;61.6;46.3;35.5;26.8;42.5
1940;2.1;16.2;26.3;41.2;56.5;65.3;74.4;68.7;64.1;52.6;25.7;26.4;43.3
1941;12;13.7;27.3;48;61.5;66.6;74.1;72.4;60.7;47.2;32.7;24.5;45.1
1942;20.2;18;33.2;48.6;51.9;63.3;69.7;69.2;54.9;48.3;32.8;15.6;43.8
1943;2.6;19.4;23.8;49.6;54.6;65.5;74.9;71.7;59;51.6;31.2;24.3;44
1944;25;15.2;22.9;42.4;62.7;65.9;71;69.7;60;50.5;32.8;20.5;44.9
1945;16;18;37.3;42.8;51.7;59.6;70.6;71;58.9;48;29.1;11.2;42.9
1946;13.8;16.5;40.9;52.2;54;67.4;73.2;67.8;59.5;44.9;30.3;20.1;45.1
1947;22.5;15;27.7;42;52.8;63.8;72.1;76.8;61.3;56;25.3;14.9;44.2
1948;7.8;9.2;23.2;48.5;56.7;63.8;72.5;70.4;65.2;47.2;32.2;15.6;42.7
1949;6.1;7.5;28.1;47.2;58.8;67.2;73;73.7;56.4;46.2;38;14.1;43
1950;-3;11.7;24;36;52.6;65.5;67.2;65.5;58.5;48.6;24;13.2;38.7
1951;4.5;18.9;15.8;41.6;57.4;59.4;69.2;66.4;54.9;44.1;26;7;38.8
1952;4.8;17.2;18.9;47.6;56;68.4;71;69.2;63.2;42.8;31.6;20.3;42.6
1953;13.4;18.8;29.9;38.9;54.3;66.2;69.8;71.6;59.6;53.2;35.3;19.2;44.2
1954;4.2;34.1;25.9;43;51;64.3;73.6;69.5;58.7;45.3;36.9;20.1;43.9
1955;13.9;9.1;25.4;52;61.6;64.1;75.9;72.8;59.7;48.3;19.8;6.8;42.5
1956;8.3;6.9;24.4;37.4;55.9;71.5;69.1;68.5;57.3;50.7;30.4;21.6;41.8
1957;5;16.9;29.4;43.4;54;63.4;75.8;69.9;57;47;31.2;25.2;43.2
1958;18.7;13.4;30.5;44.1;58.8;60.3;67.8;71.5;61.4;48.4;32.2;13;43.3
1959;6.5;8.2;33.4;44;55.3;70.2;72.5;74.2;59.6;41.7;22.2;27.4;42.9
1960;10.6;11;15.3;43.8;56;63.2;73.3;68.3;56.7;46.9;29.7;14.8;40.8
1961;11.6;16.1;34.7;38.7;52.8;68;70.9;73.6;55.6;48.3;30.7;10.4;42.6
1962;8.8;11.2;22;44.9;58.6;65.4;67.2;70.3;57.3;49.9;35;19.2;42.5
1963;2.9;16.9;36.4;45;55.6;69.5;73.4;71.1;62.3;55.9;33.6;9.4;44.3
1964;16.2;24.3;22.9;46.3;58.5;66.7;75.1;66.3;56.7;46.6;26.9;7.1;42.8
1965;2;11.2;19.2;43.7;56.1;65.1;71.7;69.4;49.7;50.2;29.1;25.4;41.1
1966;0;9.2;34;38.9;53.7;67.1;76.3;66.6;59;46.7;25.5;19.3;41.4
1967;15.1;11.6;33.1;43.2;52.7;64.2;69.2;68;61.7;46.3;31.2;16.4;42.7
1968;10.4;15.8;36.2;44;51.3;64.9;69.9;68.2;58.9;46.6;32.4;13.8;42.7
1969;4.3;17.9;16.2;46.4;57.5;59.8;70;73.1;63.1;42.6;33.6;18.5;41.9
1970;2;15.6;23.1;41.2;56.7;68.2;72.5;72;62.8;48.3;30.4;13.8;42.2
1971;5.4;15.1;31.4;47.9;55.6;70.3;68.2;73;59.7;48.5;32.2;12.6;43.3
1972;6.2;9.6;29.2;44.8;60.7;67.2;69.5;71.6;60.3;44.2;30.3;10.5;42
1973;17;24.3;39.5;45.6;57.5;68.2;72.8;75.5;57.9;50.6;27;12.2;45.7
1974;6.3;18.2;30.5;46;53.9;65.6;77.4;68;57.2;50.2;32.5;22.8;44
1975;17.1;14.7;24.9;40.6;59.7;68.1;78.3;72.3;58.9;51.9;34;17.5;44.8
1976;12;26.8;30.5;49.6;57;69.9;75;75.9;62.1;43;26.5;14.6;45.2
1977;1.4;24.2;33.5;51.9;64.9;67.6;74.1;65.7;59.6;46.4;27.2;11.1;44
1978;-1.7;6;25.3;42.9;58.1;65.6;70.1;70.7;65.1;47.3;24.2;10.7;40.4
1979;-1.2;2.5;24.6;40.6;52.5;65.2;70.4;68.3;63.2;45.9;29.2;25.6;40.6
1980;13;14.7;25.6;49.8;59.4;67;72.8;68.9;59.5;45.3;36.1;20;44.3
1981;19.4;23.9;35.5;49.9;56.3;65.3;74.4;72.1;62.4;48.8;37.6;15.6;46.8
1982;-3.6;M;27.2;43.5;57.4;62.1;73.9;71.3;59.7;46.6;27.7;25;44.6
1983;23.1;27.9;33.3;41.5;53.5;65.1;75.2;76.5;60.8;47.3;32.2;-0.5;44.7
1984;15.7;30.2;27.8;47;54.4;65.6;71.2;72.7;55.4;48.6;32.5;13;44.5
1985;8.5;16.3;36;50.2;61.2;61.3;72.6;67.3;56.5;45.3;16.4;7.8;41.6
1986;17.2;12.1;35.8;44.1;57.6;67.9;72.5;66.2;56.7;47.3;26.3;24.1;44
1987;22.7;30.4;33.2;51.5;62.3;69.3;75.7;67.7;61.1;43.3;35.1;24.5;48.1
1988;9.9;14.6;33;45.4;63.4;75;76.4;72.8;59.2;44.4;29.1;18.8;45.2
1989;15.6;4.9;22.9;45.1;57.3;64.6;75.3;72;59.8;46.7;28.6;9.2;41.8
1990;25.3;21.3;35.8;44;54.9;66.1;69.7;70.9;63.6;45.8;34.7;12.2;45.4
1991;11.3;27.7;33.8;48.3;60.8;70.8;72.2;72.6;60.3;44.8;24.9;24;46
1992;21.5;28.8;36.2;44.1;59.5;63.7;64.2;64.3;58.5;46.2;29.6;14.6;44.3
1993;9.7;11.9;31.1;44.6;57.6;62.9;68.6;70.2;56.1;45.6;27.8;18.3;42
1994;0.4;7.4;33.5;46.3;63.5;70.3;69.3;65.7;61.5;49.5;32.8;16.5;43.1
1995;11.7;15.5;26.6;39;53.8;68.1;70.7;71.6;57.7;44.8;26.3;16.7;41.9
1996;4.1;17.5;21.3;40.7;53.5;66.9;67.8;70.1;58.6;45.2;17.3;6;39.1
1997;3.5;14.5;23.8;39;53.2;68.1;71.1;68.4;61.7;48;25;25.6;41.8
1998;13.8;28.2;25.1;47.9;60;62.9;72.9;71.3;64.3;48.3;33.2;22.8;45.9
1999;8.8;28.8;35.3;45.8;57.8;66.1;72.3;69.6;56.1;45.4;38.7;24.6;45.8
2000;13.6;26.2;36.9;43.5;58.1;65.2;71.1;69.6;59.4;48.9;22.5;3;43.2
2001;15.6;4.1;23;44.6;59.1;66.8;74.2;71.4;60.9;45.3;39.5;19.4;43.7
2002;19.5;27.5;21.6;42.4;51.2;70.8;74.7;67.8;60.9;37.6;30.5;22.5;43.9
2003;15.1;12.4;28.3;46.2;54.7;65;71.5;71.9;58.3;48.8;25.6;23.2;43.4
2004;9.3;18;36;45.8;54.3;61.9;68.9;63.4;62.2;47.1;34.4;22.8;43.7
2005;11.4;22.2;31;48.1;54.4;69;72.7;68.2;63.7;47.5;33;17.4;44.9
2006;27.1;19.9;32.8;49.6;57.5;67.7;75.4;70.9;56.2;42;29.8;24.8;46.1
2007;11.6;8.2;34.6;41.3;60.4;68.9;73.9;68.4;60.4;49;31.1;11.4;43.3
2008;7.2;12.1;28.5;41.9;54.4;64.1;72.3;70;59.7;46;31.9;8.8;41.4
2009;6.2;15.3;26.6;42.8;56.1;63.3;67.4;65.9;62.7;40.2;38.2;11;41.3
2010;9;10.6;34.7;51;56.2;67.2;72.6;73.4;57.9;49.3;30.5;13;43.8
2011;5.8;10.6;21.1;42.6;54.7;66.4;76.5;70.8;59;50.3;31.5;24.4;42.8
2012;21.3;23.9;43.8;48.7;58.9;69.8;76.7;67.7;59.2;44.1;30.9;15.4;46.7
2013;13.4;14.7;19.8;34.9;56.2;65.3;70.1;69.9;63.9;42.3;27.1;6.5;40.3
2014;8.8;6.6;25.3;40.7;55.2;63.5;67.3;67.2;59.6;48.4;21.9;22.4;40.6
2015;18.2;12.4;34.9;48.5;55.3;69;72.6;68.7;65.1;50.8;37.1;22.6;46.3
2016;17.6;28.3;40.4;45.9;59.1;70.6;71.9;70.7;62.3;50.1;40.5;13.3;47.6
2017;12.8;27;30.9;45.4;56.9;67.4;73.9;66;61.8;46.9;30;17.6;44.7
2018;15.3;7.6;28.3;35.7;64.5;72.1;72.4;69.8;60.7;41.5;24.8;22;42.9
2019;9.9;1.7;20.9;43.9;52.8;68.4;73;68.1;62.9;40.7;29.9;17.7;40.8
2020;15;18.3;33.9;41.9;56;72.5;75.2;73;60.2;41.1;36.3;25.6;45.8
2021;25.1;11.3;40;44.7;57.6;73.5;75.3;73;64.6;51.8;35.9;19.5;47.7
2022;11.6;15.5;30.9;39.4;57.2;70.7;74.5;71.4;64.3;48.1;28.3;11.2;43.6
2023;13.8;15;17.6;37.6;63.6;74;71;72;65.5;47.5;34.8;30;45.2
2024;15.3;31.7;32.9;47.7;57.5;68;74;70.5;67.7;52.7;33.3;22.8;47.8
2025;14.3;11.3;36.2;44.6;57;67;71.6;69.7;64.6;52.4;33.9;18;45
